[4]{'policy_loss': -28.492, 'ent_loss': -0.575, 'mem_len': 37879}
[6]{'policy_loss': -27.592, 'ent_loss': -0.662, 'mem_len': 38326}
[8]{'policy_loss': -29.067, 'ent_loss': -0.548, 'mem_len': 38626}
[10]{'policy_loss': -29.63, 'ent_loss': -0.433, 'mem_len': 38990}
[12]{'policy_loss': -28.457, 'ent_loss': -0.382, 'mem_len': 39529}
[14]{'policy_loss': -30.51, 'ent_loss': -0.481, 'mem_len': 39724}
[16]{'policy_loss': -27.845, 'ent_loss': -0.376, 'mem_len': 40198}
[18]{'policy_loss': -28.694, 'ent_loss': -0.387, 'mem_len': 40629}
[1]{'policy_loss': -28.237, 'ent_loss': -0.071, 'mem_len': 37348}
[2]{'policy_loss': -26.526, 'ent_loss': -0.303, 'mem_len': 37627}
[3]{'policy_loss': -28.842, 'ent_loss': -0.826, 'mem_len': 37763}
[4]{'policy_loss': -29.419, 'ent_loss': -0.372, 'mem_len': 37948}
[5]{'policy_loss': -28.245, 'ent_loss': -0.469, 'mem_len': 38106}
[6]{'policy_loss': -28.183, 'ent_loss': -0.669, 'mem_len': 38300}
[7]{'policy_loss': -30.145, 'ent_loss': -0.503, 'mem_len': 38430}
[8]{'policy_loss': -29.329, 'ent_loss': -0.434, 'mem_len': 38664}
[9]{'policy_loss': -29.604, 'ent_loss': -0.558, 'mem_len': 38860}
[10]{'policy_loss': -29.033, 'ent_loss': -0.253, 'mem_len': 39146}
[11]{'policy_loss': -27.57, 'ent_loss': -0.678, 'mem_len': 39417}
[12]{'policy_loss': -27.366, 'ent_loss': -0.486, 'mem_len': 39579}
[13]{'policy_loss': -28.487, 'ent_loss': -0.335, 'mem_len': 39942}
[14]{'policy_loss': -29.187, 'ent_loss': -0.709, 'mem_len': 40152}
[15]{'policy_loss': -28.793, 'ent_loss': -0.425, 'mem_len': 40293}
[16]{'policy_loss': -27.811, 'ent_loss': -0.374, 'mem_len': 40438}
[17]{'policy_loss': -27.305, 'ent_loss': -0.475, 'mem_len': 40567}
